service,endpoint,type,layer,count,mean_latency,variance,stddev,cov
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/37df6e19-608a-4e4c-bfdc-c18c21d0fb27","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/560010cf-b3ca-49ad-a61d-8cf3436477fd","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/4f0c0e2a-4c67-4346-ae57-25b0327a76b3","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/4f0c0e2a-4c67-4346-ae57-25b0327a76b3","UNKNOWN_TYPE","UNKNOWN_LAYER",1,3.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/9e29bd6b-9e8c-499c-8086-d15b53a394fe","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/b9d4fd6a-3cef-434a-a197-e92a3a880403","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/b32cd44c-a62d-41f9-8d50-d45e7e2dbc3f","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/2fd5dfcf-5417-437a-b3f2-6c64648c1267","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/2fd5dfcf-5417-437a-b3f2-6c64648c1267","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/dc0aa456-a437-4d35-a5d9-4a099ea4faa6","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/b20ac8e7-34e3-4d1a-a10b-5ca5006aed31","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/9bc060a9-c830-44f6-8b32-2eacdaf83339","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/7ca512d5-8ef4-4758-be33-46a495f8f4ac","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/4ec42973-9f26-45b3-9ab8-6b7b9279772c","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/913948de-f4bd-46f1-9be1-09607b218503","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/7145b317-9495-4cf1-a75f-440d8e147734","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/f455c3bf-a72d-46df-a517-c8144c773191","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/c15ad26b-bbe3-497b-b942-30409a8ae114","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/128d9799-1769-4f3f-9258-a08eed77c81c","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/b1d96cab-feaa-4386-8d35-e5b5e4a0011e","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/4f8fd4ab-20fd-4fbb-a0c3-7b38f5c30cb4","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/0be92556-33af-48d2-b58d-6df9189f22fa","UNKNOWN_TYPE","UNKNOWN_LAYER",1,5.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/f3be8dd0-6d45-4c2b-8dcf-b439a6829b68","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/4eb51de3-a916-4f31-8310-35dbe57f02ba","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/1564f58b-bcc1-46c5-89d0-9259e33f6fb0","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/4fcd07a4-2453-4776-8b6a-7d38c1db7ffa","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/e235691b-1626-4aa9-9188-bccf7983d940","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/9a1def22-7357-4448-955c-e8b5a80e4c0e","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/4c3e856c-abe1-4f65-a11f-818a44066682","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/4c3e856c-abe1-4f65-a11f-818a44066682","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/4451fa01-db6d-4ed9-81d3-90c16af4e258","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/120dc75a-568a-46b8-a261-31a5ab9e8497","UNKNOWN_TYPE","UNKNOWN_LAYER",1,1.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/592532ac-f322-42b9-ae7f-2b26e0646621","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/ed9f93fb-e534-4afc-83bf-86a4326f3812","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
"dHMtY2FuY2VsLXNlcnZpY2U=.1","POST:/api/v1/cancelservice/cancel/46f61788-fda0-4123-ad56-8a7183cef3ac","UNKNOWN_TYPE","UNKNOWN_LAYER",1,4.0,0.0,0.0,0.0
"dHMtZ2F0ZXdheS1zZXJ2aWNl.1","POST:/api/v1/cancelservice/cancel/5b47fc80-86db-442a-8f27-3c313ac133ec","UNKNOWN_TYPE","UNKNOWN_LAYER",1,2.0,0.0,0.0,0.0
